,bias_bits,row,v_nodes,c_nodes,ts_size,sim_index,snr
114,"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]",4,[22 63 67 70],[ 2  5  9 14 18 21 27 29 34 38],"[4.0, 10.0]",4,5
115,"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]",4,[22 43 63 70 83],[ 5  8 14 16 17 18 21 29 34 38 46],"[5.0, 11.0]",5,5
116,"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]",4,[ 4 22 34 55 70 83],[ 0  2 17 29 38 42],"[6.0, 6.0]",6,5
117,"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]",4,[22 34 55 56 83 95],[ 0  9 17 18 29 30 33 38 42 46],"[6.0, 10.0]",7,5
118,"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]",4,[43 56 63 67 70],[ 5  9 14 16 18 21 27 30 46],"[5.0, 9.0]",8,5
119,"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]",4,[22 34 43 55 56 63 70 83],[ 0  5 16 17 18 21 29 30 42 46],"[8.0, 10.0]",9,5
120,"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]",4,[22 34 43 55 56 83 95],[ 0  2  9 16 17 18 29 30 33 38 42],"[7.0, 11.0]",10,5
121,"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]",4,[34 55 56 63 67 70 81 95],[ 0  2  5  8 27 30 33 34 39 42],"[8.0, 10.0]",11,5
122,"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]",4,[22 34 43 63 67 81 83],[ 2  5  9 16 17 18 27 29 34 39 42],"[7.0, 11.0]",12,5
123,"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]",4,[22 34 55 63 81 95],[ 0  5  8  9 18 29 33 39 42 46],"[6.0, 10.0]",13,5
124,"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]",4,[ 4 34 43 56 67 83],[ 2  9 16 17 27 30 38 42],"[6.0, 8.0]",14,5
125,"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]",4,[ 4 22 34 70 81 83 95],[ 2  9 14 17 21 29 33 34 38 39 42],"[7.0, 11.0]",15,5
126,"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]",4,[22 34 43 56 63 67 70 81],[ 5  8  9 14 16 27 29 30 34 39 42 46],"[8.0, 12.0]",16,5
127,"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]",4,[22 55 56 63 83],[ 0  5  8 17 18 21 29 30 38],"[5.0, 9.0]",17,5
128,"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]",4,[34 43 55 67 81],[ 0  2  8  9 14 16 21 27 34 39 42],"[5.0, 11.0]",18,5
129,"[4.0, 22.0, 34.0, 43.0, 55.0, 56.0, 63.0, 67.0, 70.0, 81.0, 83.0, 95.0]",4,[22 63 81 83],[ 5  8 17 29 34 39],"[4.0, 6.0]",19,5
