,c_nodes,row,v_nodes,sim_index,snr,bias_bits,ts_size
465,[ 1  7 14 20 23 29 34 38 40],46,[22 82 94],0,3,"[5.0, 22.0, 46.0, 52.0, 57.0, 66.0, 68.0, 72.0, 82.0, 94.0]","[3.0, 9.0]"
466,[ 7 16 34 40 41],46,[ 5 52 57 66 72],1,3,"[5.0, 22.0, 46.0, 52.0, 57.0, 66.0, 68.0, 72.0, 82.0, 94.0]","[5.0, 5.0]"
467,[ 5 10 27 30 36 42],47,[10 14],0,3,"[10.0, 14.0, 18.0, 47.0, 48.0, 54.0, 67.0]","[2.0, 6.0]"
468,[19 27 42 46],47,[10 47 54 67],1,3,"[10.0, 14.0, 18.0, 47.0, 48.0, 54.0, 67.0]","[4.0, 4.0]"
469,[ 8 17 20 27 32],48,[21 67 83],0,3,"[18.0, 21.0, 47.0, 48.0, 65.0, 67.0, 74.0, 83.0]","[3.0, 5.0]"
470,[ 8  9 20 21 27 30 32 35 36 46],48,[21 47 67 74],1,3,"[18.0, 21.0, 47.0, 48.0, 65.0, 67.0, 74.0, 83.0]","[4.0, 10.0]"
471,[ 6 11 18 20 25 27 28 31],49,[11 17 27 31 42 44 90 92],0,3,"[11.0, 13.0, 17.0, 27.0, 31.0, 39.0, 42.0, 44.0, 49.0, 71.0, 76.0, 90.0, 92.0]","[8.0, 8.0]"
472,[ 3 13 25 27 36 39 43 45],49,[13 17 39 44],1,3,"[11.0, 13.0, 17.0, 27.0, 31.0, 39.0, 42.0, 44.0, 49.0, 71.0, 76.0, 90.0, 92.0]","[4.0, 8.0]"
473,[ 5  6  8 14 23 26 39 45],50,[28 50 64 77],0,3,"[6.0, 28.0, 29.0, 50.0, 64.0, 74.0, 77.0, 81.0]","[4.0, 8.0]"
474,[ 6 28 38],50,[29 50 64],1,3,"[6.0, 28.0, 29.0, 50.0, 64.0, 74.0, 77.0, 81.0]","[3.0, 3.0]"
475,[ 8 23 33 37 41],51,[ 5 29 36 88 94],0,3,"[5.0, 8.0, 18.0, 29.0, 36.0, 51.0, 88.0, 94.0]","[5.0, 5.0]"
476,[ 1  3  8 16 23 26 35 37 41],51,[ 8 29 36 88 94],1,3,"[5.0, 8.0, 18.0, 29.0, 36.0, 51.0, 88.0, 94.0]","[5.0, 9.0]"
477,[ 1  7 20 29],52,[46 82],0,3,"[6.0, 32.0, 46.0, 52.0, 72.0, 76.0, 82.0]","[2.0, 4.0]"
478,[ 3  7 15 29 33 40 41],52,[72 76 82],1,3,"[6.0, 32.0, 46.0, 52.0, 72.0, 76.0, 82.0]","[3.0, 7.0]"
479,[ 5 11 13 24 25 27 32 42 43],53,[14 16 45 69 92],0,3,"[14.0, 16.0, 44.0, 45.0, 53.0, 69.0, 78.0, 84.0, 92.0]","[5.0, 9.0]"
480,[ 4 11 13 24 25 27 32 36 42],53,[16 44 45 69 92],1,3,"[14.0, 16.0, 44.0, 45.0, 53.0, 69.0, 78.0, 84.0, 92.0]","[5.0, 9.0]"
481,[ 0  4 22 24 35 40 44 45],54,[25 35 42 54 69 87],0,3,"[10.0, 17.0, 25.0, 35.0, 42.0, 47.0, 54.0, 69.0, 85.0, 87.0]","[6.0, 8.0]"
482,[ 4 22 36],54,[17],1,3,"[10.0, 17.0, 25.0, 35.0, 42.0, 47.0, 54.0, 69.0, 85.0, 87.0]","[1.0, 3.0]"
483,[ 0  2  9 18 25 29 33 34 46],55,[ 4  9 22 55 95],0,3,"[4.0, 9.0, 19.0, 22.0, 55.0, 70.0, 95.0]","[5.0, 9.0]"
484,[ 0  2 25 27 33 34],55,[ 9 19],1,3,"[4.0, 9.0, 19.0, 22.0, 55.0, 70.0, 95.0]","[2.0, 6.0]"
485,[ 6 14 23 29 35 38],56,[18 22 86 94],0,3,"[4.0, 18.0, 22.0, 37.0, 56.0, 70.0, 81.0, 86.0, 94.0]","[4.0, 6.0]"
486,[14 23 34 35 39],56,[18 37 81 86 94],1,3,"[4.0, 18.0, 22.0, 37.0, 56.0, 70.0, 81.0, 86.0, 94.0]","[5.0, 5.0]"
487,[ 1  4 15 23 34],57,[57 66 68],0,3,"[1.0, 25.0, 45.0, 46.0, 57.0, 66.0, 68.0, 72.0, 89.0]","[3.0, 5.0]"
488,[11 15 23 27 29 31 32 33],57,[ 1 45 57 68 72 89],1,3,"[1.0, 25.0, 45.0, 46.0, 57.0, 66.0, 68.0, 72.0, 89.0]","[6.0, 8.0]"
489,[12 27 32 36 43],58,[17 44 91],0,3,"[1.0, 17.0, 44.0, 45.0, 58.0, 91.0, 92.0]","[3.0, 5.0]"
490,[ 4 12 22 25],58,[58 91],1,3,"[1.0, 17.0, 44.0, 45.0, 58.0, 91.0, 92.0]","[2.0, 4.0]"
491,[ 2  3  5 16 18 24 44],59,[27 59 75],0,3,"[20.0, 27.0, 33.0, 43.0, 59.0, 70.0, 75.0]","[3.0, 7.0]"
492,[ 2  3  5  6 16 24 38 46],59,[20 27 70 75],1,3,"[20.0, 27.0, 33.0, 43.0, 59.0, 70.0, 75.0]","[4.0, 8.0]"
493,[ 3  9 18 22 23 24 32 41],60,[15 32 76 82 91 95],0,3,"[5.0, 15.0, 21.0, 30.0, 32.0, 60.0, 76.0, 82.0, 91.0, 95.0]","[6.0, 8.0]"
494,[ 3  9 12 16 22 24 40],60,[15 21 30 76 91],1,3,"[5.0, 15.0, 21.0, 30.0, 32.0, 60.0, 76.0, 82.0, 91.0, 95.0]","[5.0, 7.0]"
495,[ 8 19 23 26 33],61,[ 6 12 32 36 61],0,3,"[6.0, 12.0, 13.0, 32.0, 36.0, 61.0, 79.0]","[5.0, 5.0]"
496,[ 0  8 22 26],61,[ 6 36 61 79],1,3,"[6.0, 12.0, 13.0, 32.0, 36.0, 61.0, 79.0]","[4.0, 4.0]"
497,[ 2 16 38],62,[24 37 62],0,3,"[13.0, 20.0, 24.0, 37.0, 43.0, 62.0, 88.0]","[3.0, 3.0]"
498,[ 2 16 46],62,[43],1,3,"[13.0, 20.0, 24.0, 37.0, 43.0, 62.0, 88.0]","[1.0, 3.0]"
499,[14 18 21 23 35 38 39 44 45],63,[ 4 20 24 28 33 37 43 63 75],0,3,"[4.0, 14.0, 20.0, 24.0, 28.0, 33.0, 37.0, 43.0, 63.0, 67.0, 74.0, 75.0, 81.0, 83.0]","[9.0, 9.0]"
500,[14 18 23 24 35 39 44 45 46],63,[ 4 24 28 33 43 63 75],1,3,"[4.0, 14.0, 20.0, 24.0, 28.0, 33.0, 37.0, 43.0, 63.0, 67.0, 74.0, 75.0, 81.0, 83.0]","[7.0, 9.0]"
501,[ 5  8 23 26 38 39],64,[28 29],0,3,"[8.0, 28.0, 29.0, 37.0, 39.0, 50.0, 64.0, 81.0, 84.0]","[2.0, 6.0]"
502,[12 22 32 34 44],65,[38 42 65],0,3,"[7.0, 21.0, 31.0, 38.0, 42.0, 48.0, 65.0, 91.0]","[3.0, 5.0]"
503,[ 0 17 20 22 34 35 43],65,[ 7 21 31 38 48 65 91],1,3,"[7.0, 21.0, 31.0, 38.0, 42.0, 48.0, 65.0, 91.0]","[7.0, 7.0]"
504,[ 1  6 14 30 40],66,[22 46 86],0,3,"[18.0, 22.0, 46.0, 57.0, 66.0, 86.0]","[3.0, 5.0]"
505,[ 1  6 14 29 35],66,[18 22 86],1,3,"[18.0, 22.0, 46.0, 57.0, 66.0, 86.0]","[3.0, 5.0]"
506,[ 5  8  9 18 27 30 33 35 46],67,[14 47 48 83 95],0,3,"[4.0, 14.0, 19.0, 47.0, 48.0, 63.0, 67.0, 83.0, 95.0]","[5.0, 9.0]"
507,[ 0  5 14 27 36],67,[ 4 14 19 67 95],1,3,"[4.0, 14.0, 19.0, 47.0, 48.0, 63.0, 67.0, 83.0, 95.0]","[5.0, 5.0]"
508,[ 1  7 11 19 20 29 40],68,[25 46 82],0,3,"[1.0, 25.0, 32.0, 46.0, 57.0, 68.0, 82.0, 87.0, 94.0]","[3.0, 7.0]"
509,[ 4 15 19 20 23 29 33 35 38 44],68,[ 1 32 46 57 68 82 87 94],1,3,"[1.0, 25.0, 32.0, 46.0, 57.0, 68.0, 82.0, 87.0, 94.0]","[8.0, 10.0]"
510,[ 3  5 19 24 32 36 40 42],69,[14 25 45 53 69 90],0,3,"[14.0, 15.0, 25.0, 33.0, 45.0, 53.0, 54.0, 69.0, 90.0]","[6.0, 8.0]"
511,[10 27 36 40 42],69,[25 53 54],1,3,"[14.0, 15.0, 25.0, 33.0, 45.0, 53.0, 54.0, 69.0, 90.0]","[3.0, 5.0]"
512,[ 6 14 18 21 25 26 34 38 42 46],70,[ 4  9 29 34 37 70],0,3,"[4.0, 9.0, 24.0, 27.0, 29.0, 34.0, 37.0, 43.0, 55.0, 56.0, 59.0, 70.0]","[6.0, 10.0]"
513,[ 0  3 16 25 44 46],70,[ 9 27 43 55],1,3,"[4.0, 9.0, 24.0, 27.0, 29.0, 34.0, 37.0, 43.0, 55.0, 56.0, 59.0, 70.0]","[4.0, 6.0]"
514,[10 20 22 31 34 43 45],71,[10 11 13 16 86],0,3,"[10.0, 11.0, 13.0, 16.0, 31.0, 49.0, 71.0, 86.0]","[5.0, 7.0]"
515,[ 3 10 13 22 30 31 43],71,[10 16 49],1,3,"[10.0, 11.0, 13.0, 16.0, 31.0, 49.0, 71.0, 86.0]","[3.0, 7.0]"
516,[16 18 29 31 33 39],72,[ 0  5 46 57 72 95],0,3,"[0.0, 5.0, 19.0, 32.0, 46.0, 52.0, 57.0, 72.0, 89.0, 95.0]","[6.0, 6.0]"
517,[ 7 23 29 31 40],72,[32 57 72],1,3,"[0.0, 5.0, 19.0, 32.0, 46.0, 52.0, 57.0, 72.0, 89.0, 95.0]","[3.0, 5.0]"
518,[12 17 19 24 34 37 40],73,[15 38 73],0,3,"[3.0, 12.0, 15.0, 25.0, 26.0, 30.0, 38.0, 73.0, 88.0]","[3.0, 7.0]"
519,[ 7 12 13 16 19 21 37 40 47],73,[ 3 12 25 73 88],1,3,"[3.0, 12.0, 15.0, 25.0, 26.0, 30.0, 38.0, 73.0, 88.0]","[5.0, 9.0]"
520,[ 3  6  8  9 24 26 35 38],74,[ 8 33 37 48 63 83],0,3,"[8.0, 29.0, 33.0, 37.0, 48.0, 50.0, 63.0, 74.0, 81.0, 83.0]","[6.0, 8.0]"
521,[ 5 17 26 28 35 38 39],74,[29 50 63 74 83],1,3,"[8.0, 29.0, 33.0, 37.0, 48.0, 50.0, 63.0, 74.0, 81.0, 83.0]","[5.0, 7.0]"
522,[ 2 24 35 44 46],75,[33 43 75],0,3,"[14.0, 33.0, 43.0, 59.0, 63.0, 75.0, 89.0]","[3.0, 5.0]"
523,[15 24 36 44 46],75,[14 43 59 75 89],1,3,"[14.0, 33.0, 43.0, 59.0, 63.0, 75.0, 89.0]","[5.0, 5.0]"
524,[ 3 12 33 41],76,[60 76],0,3,"[8.0, 11.0, 30.0, 36.0, 49.0, 52.0, 60.0, 76.0, 82.0]","[2.0, 4.0]"
525,[ 7 20 40],76,[82],1,3,"[8.0, 11.0, 30.0, 36.0, 49.0, 52.0, 60.0, 76.0, 82.0]","[1.0, 3.0]"
526,[ 0  8 10 19 21 29 39 45 47],77,[24 35 50 85 93],0,3,"[7.0, 22.0, 24.0, 31.0, 35.0, 41.0, 50.0, 77.0, 81.0, 85.0, 93.0]","[5.0, 9.0]"
527,[ 0 10 19 29 34 43],77,[22 31 35 77],1,3,"[7.0, 22.0, 24.0, 31.0, 35.0, 41.0, 50.0, 77.0, 81.0, 85.0, 93.0]","[4.0, 6.0]"
528,[11 19 42 43 47],78,[12 78 92],0,3,"[12.0, 23.0, 53.0, 78.0, 92.0]","[3.0, 5.0]"
529,[ 7 11 19 25 43 47],78,[12 92],1,3,"[12.0, 23.0, 53.0, 78.0, 92.0]","[2.0, 6.0]"
530,[ 2  7 32 45],79,[ 7 12 35 93],0,3,"[7.0, 12.0, 13.0, 35.0, 61.0, 79.0, 91.0, 93.0]","[4.0, 4.0]"
531,[ 0  7 19 28 32 47],79,[ 7 12],1,3,"[7.0, 12.0, 13.0, 35.0, 61.0, 79.0, 91.0, 93.0]","[2.0, 6.0]"
532,[ 5  8 18 21 23 30 35 38 39 46],81,[ 4 28 56 74],0,3,"[0.0, 4.0, 22.0, 24.0, 28.0, 37.0, 50.0, 56.0, 63.0, 64.0, 74.0, 77.0, 81.0]","[4.0, 10.0]"
533,[ 5  8 28 30 38 46],81,[50 56 63 81],1,3,"[0.0, 4.0, 22.0, 24.0, 28.0, 37.0, 50.0, 56.0, 63.0, 64.0, 74.0, 77.0, 81.0]","[4.0, 6.0]"
534,[11 23 33 40 47],82,[12 25 32],0,3,"[12.0, 15.0, 25.0, 32.0, 41.0, 46.0, 52.0, 60.0, 68.0, 76.0, 82.0]","[3.0, 5.0]"
535,[ 1  7 12 23 41],82,[32 46 52 60 82],1,3,"[12.0, 15.0, 25.0, 32.0, 41.0, 46.0, 52.0, 60.0, 68.0, 76.0, 82.0]","[5.0, 5.0]"
536,[ 5  8  9 14 21 26 35 38 42 46],83,[ 4 29 34 48 63 83],0,3,"[2.0, 4.0, 29.0, 34.0, 48.0, 63.0, 67.0, 74.0, 83.0]","[6.0, 10.0]"
537,[ 5  9 15 17 18 21 35 38 42],83,[ 2 34 48 63 83],1,3,"[2.0, 4.0, 29.0, 34.0, 48.0, 63.0, 67.0, 74.0, 83.0]","[5.0, 9.0]"
538,[ 3  8 11 18 23 31 35 36 39 41 42],84,[ 8 14 16 28 34 36 53],0,3,"[8.0, 14.0, 16.0, 28.0, 29.0, 33.0, 34.0, 36.0, 53.0, 64.0, 84.0]","[7.0, 11.0]"
539,[ 5  6 13 18 26 31 38 39 42],84,[16 29 34 64 84],1,3,"[8.0, 14.0, 16.0, 28.0, 29.0, 33.0, 34.0, 36.0, 53.0, 64.0, 84.0]","[5.0, 9.0]"
540,[14 19 36 43 45],85,[31 54 77],0,3,"[13.0, 22.0, 31.0, 35.0, 42.0, 54.0, 77.0, 85.0]","[3.0, 5.0]"
541,[ 0 13 22 29 36 45],85,[13 35 54 85],1,3,"[13.0, 22.0, 31.0, 35.0, 42.0, 54.0, 77.0, 85.0]","[4.0, 6.0]"
542,[13 30 43],86,[71],0,3,"[11.0, 18.0, 22.0, 37.0, 56.0, 66.0, 71.0, 86.0]","[1.0, 3.0]"
543,[13 14 21 30 34 43],86,[37 56 71 86],1,3,"[11.0, 18.0, 22.0, 37.0, 56.0, 66.0, 71.0, 86.0]","[4.0, 6.0]"
544,[ 4 10 11 19 35 36 40],87,[25 54 87],0,3,"[17.0, 25.0, 54.0, 68.0, 87.0]","[3.0, 7.0]"
545,[10 22 35],87,[17 54 87],1,3,"[17.0, 25.0, 54.0, 68.0, 87.0]","[3.0, 3.0]"
546,[ 1 13 16 26 33 41],88,[ 5 36],0,3,"[5.0, 13.0, 30.0, 36.0, 51.0, 62.0, 73.0, 88.0]","[2.0, 6.0]"
547,[ 1  6 22 26 33 41],88,[ 5 13 36 62],1,3,"[5.0, 13.0, 30.0, 36.0, 51.0, 62.0, 73.0, 88.0]","[4.0, 6.0]"
548,[ 4  5 15 31 36],89,[ 1 14 89],0,3,"[1.0, 14.0, 19.0, 44.0, 57.0, 72.0, 75.0, 89.0]","[3.0, 5.0]"
549,[ 5 16 27 29 33],89,[72 75 89],1,3,"[1.0, 14.0, 19.0, 44.0, 57.0, 72.0, 75.0, 89.0]","[3.0, 5.0]"
550,[ 3  4 18 22 24 31 32 43],90,[ 1 27 45 49 69 90],0,3,"[1.0, 17.0, 27.0, 45.0, 49.0, 69.0, 90.0]","[6.0, 8.0]"
551,[ 3 24 32],90,[45 69 90],1,3,"[1.0, 17.0, 27.0, 45.0, 49.0, 69.0, 90.0]","[3.0, 3.0]"
552,[ 9 10 12 28 33 34 47],91,[ 7 21 38 60 65 79 91],0,3,"[7.0, 17.0, 21.0, 38.0, 42.0, 58.0, 60.0, 65.0, 79.0, 91.0]","[7.0, 7.0]"
553,[10 17 22 25 36],91,[17 58 65],1,3,"[7.0, 17.0, 21.0, 38.0, 42.0, 58.0, 60.0, 65.0, 79.0, 91.0]","[3.0, 5.0]"
554,[ 4 11 25 31 32 42],92,[44 45 53 92],0,3,"[39.0, 44.0, 45.0, 49.0, 53.0, 58.0, 78.0, 92.0]","[4.0, 6.0]"
555,[ 3 11 25 27 39 42],92,[39 53],1,3,"[39.0, 44.0, 45.0, 49.0, 53.0, 58.0, 78.0, 92.0]","[2.0, 6.0]"
556,[ 0  2 14 20 32 34 37],93,[ 7  9 23 40 41],0,3,"[7.0, 9.0, 23.0, 24.0, 40.0, 41.0, 77.0, 79.0, 93.0]","[5.0, 7.0]"
557,[ 0  2 15 20 32 34 45],93,[ 7  9 23 41 77],1,3,"[7.0, 9.0, 23.0, 24.0, 40.0, 41.0, 77.0, 79.0, 93.0]","[5.0, 7.0]"
558,[ 1 14 23 29 35 37 40 41],94,[ 6 18 29 46 51 56],0,3,"[5.0, 6.0, 18.0, 29.0, 32.0, 46.0, 51.0, 56.0, 68.0, 94.0]","[6.0, 8.0]"
559,[ 1  4  8 16 26 29 33],94,[ 5 29 46 68 94],1,3,"[5.0, 6.0, 18.0, 29.0, 32.0, 46.0, 51.0, 56.0, 68.0, 94.0]","[5.0, 7.0]"
560,[ 0  9 14 18 27 29 33 39 46],95,[ 0  4 19],0,3,"[0.0, 4.0, 19.0, 21.0, 55.0, 60.0, 67.0, 72.0, 95.0]","[3.0, 9.0]"
561,[12 15 18 20 33 34 39 46],95,[ 0 19 55 60 67 72],1,3,"[0.0, 4.0, 19.0, 21.0, 55.0, 60.0, 67.0, 72.0, 95.0]","[6.0, 8.0]"
