,c_nodes,row,v_nodes,sim_index,snr,bias_bits,ts_size
76,[ 2  7 15 17 47],40,[26 40 93],1,1,"[2.0, 23.0, 26.0, 40.0, 93.0]","[3.0, 5.0]"
77,[ 2  7 40 45],41,[41 77 82 93],0,1,"[12.0, 41.0, 77.0, 82.0, 93.0]","[4.0, 4.0]"
78,[ 7 14 19 28 45 47],41,[12 77],1,1,"[12.0, 41.0, 77.0, 82.0, 93.0]","[2.0, 6.0]"
79,[10 19 28 29 36 43 45],42,[31 54 85],0,1,"[1.0, 13.0, 17.0, 27.0, 31.0, 42.0, 49.0, 54.0, 65.0, 85.0, 91.0]","[3.0, 7.0]"
80,[ 4 13 19 31 36 45],42,[ 1 13 42 54],1,1,"[1.0, 13.0, 17.0, 27.0, 31.0, 42.0, 49.0, 54.0, 65.0, 85.0, 91.0]","[4.0, 6.0]"
81,[ 5 24 44 45 46],43,[20 62 75],0,1,"[4.0, 20.0, 24.0, 43.0, 59.0, 62.0, 63.0, 70.0, 75.0]","[3.0, 5.0]"
82,[ 2  6 14 18 21 24 44],43,[ 4 20 43 63 75],1,1,"[4.0, 20.0, 24.0, 43.0, 59.0, 62.0, 63.0, 70.0, 75.0]","[5.0, 7.0]"
83,[ 4  5 15 22 25 31 32],44,[ 1 14 17 58 89],0,1,"[1.0, 14.0, 17.0, 44.0, 49.0, 53.0, 58.0, 89.0, 92.0]","[5.0, 7.0]"
84,[ 3  4  5 15 22 25 32 36 43 44],44,[14 49 58 89],1,1,"[1.0, 14.0, 17.0, 44.0, 49.0, 53.0, 58.0, 89.0, 92.0]","[4.0, 10.0]"
85,[ 3  4 15 19 32 36 44],45,[ 1 25 45 57 90],0,1,"[1.0, 16.0, 25.0, 45.0, 53.0, 57.0, 58.0, 69.0, 90.0, 92.0]","[5.0, 7.0]"
86,[ 3  4 11 15 19 24 32 44],45,[ 1 25 45 57 69 90],1,1,"[1.0, 16.0, 25.0, 45.0, 53.0, 57.0, 58.0, 69.0, 90.0, 92.0]","[6.0, 8.0]"
87,[ 1  4  7 14 20 23 34 40],46,[22 46 68 82],0,1,"[5.0, 22.0, 46.0, 52.0, 57.0, 66.0, 68.0, 72.0, 82.0, 94.0]","[4.0, 8.0]"
88,[20 23 38 41],46,[46 52 82 94],1,1,"[5.0, 22.0, 46.0, 52.0, 57.0, 66.0, 68.0, 72.0, 82.0, 94.0]","[4.0, 4.0]"
89,[ 5 10 17 19 35 46],47,[14 48 54 67],0,1,"[10.0, 14.0, 18.0, 47.0, 48.0, 54.0, 67.0]","[4.0, 6.0]"
90,[10 17 27 30 35 42 46],47,[10 48 67],1,1,"[10.0, 14.0, 18.0, 47.0, 48.0, 54.0, 67.0]","[3.0, 7.0]"
91,[ 1  8  9 30 46],48,[18 48 83],0,1,"[18.0, 21.0, 47.0, 48.0, 65.0, 67.0, 74.0, 83.0]","[3.0, 5.0]"
92,[ 8 17 20 30 32 36 46],48,[21 47 83],1,1,"[18.0, 21.0, 47.0, 48.0, 65.0, 67.0, 74.0, 83.0]","[3.0, 7.0]"
93,[ 6 28 30 31 36 41 43 44 45],49,[11 13 31 42 71 76 90],0,1,"[11.0, 13.0, 17.0, 27.0, 31.0, 39.0, 42.0, 44.0, 49.0, 71.0, 76.0, 90.0, 92.0]","[7.0, 9.0]"
94,[11 18 22 28 30 31 36 39 45],49,[13 27 31 39 42 49 71 90 92],1,1,"[11.0, 13.0, 17.0, 27.0, 31.0, 39.0, 42.0, 44.0, 49.0, 71.0, 76.0, 90.0, 92.0]","[9.0, 9.0]"
95,[ 5 21 23 26 35 38 39],50,[28 29 74],0,1,"[6.0, 28.0, 29.0, 50.0, 64.0, 74.0, 77.0, 81.0]","[3.0, 7.0]"
96,[ 5  8 23 28],50,[28 50],1,1,"[6.0, 28.0, 29.0, 50.0, 64.0, 74.0, 77.0, 81.0]","[2.0, 4.0]"
97,[ 8 13 33 38],51,[ 5 29 51 88],0,1,"[5.0, 8.0, 18.0, 29.0, 36.0, 51.0, 88.0, 94.0]","[4.0, 4.0]"
98,[ 3 30 33 37 41],51,[ 5  8 18 36 88],1,1,"[5.0, 8.0, 18.0, 29.0, 36.0, 51.0, 88.0, 94.0]","[5.0, 5.0]"
99,[ 7 29 41],52,[52],0,1,"[6.0, 32.0, 46.0, 52.0, 72.0, 76.0, 82.0]","[1.0, 3.0]"
100,[ 7 20 23 29 33 40 41],52,[32 52 82],1,1,"[6.0, 32.0, 46.0, 52.0, 72.0, 76.0, 82.0]","[3.0, 7.0]"
101,[ 5 26 42],53,[84],0,1,"[14.0, 16.0, 44.0, 45.0, 53.0, 69.0, 78.0, 84.0, 92.0]","[1.0, 3.0]"
102,[ 5  7 13 25 32 36 42],53,[14 16 45 53 78],1,1,"[14.0, 16.0, 44.0, 45.0, 53.0, 69.0, 78.0, 84.0, 92.0]","[5.0, 7.0]"
103,[ 4  9 35 42],54,[10 47 54 87],0,1,"[10.0, 17.0, 25.0, 35.0, 42.0, 47.0, 54.0, 69.0, 85.0, 87.0]","[4.0, 4.0]"
104,[ 0  4 10 22 24 29 40],54,[17 25 35 69 85],1,1,"[10.0, 17.0, 25.0, 35.0, 42.0, 47.0, 54.0, 69.0, 85.0, 87.0]","[5.0, 7.0]"
105,[ 0  9 14 18 25 29 33 34 38],55,[ 9 22 55 70 95],0,1,"[4.0, 9.0, 19.0, 22.0, 55.0, 70.0, 95.0]","[5.0, 9.0]"
106,[ 2 14 27 29 33 38],55,[19 22 55 70],1,1,"[4.0, 9.0, 19.0, 22.0, 55.0, 70.0, 95.0]","[4.0, 6.0]"
107,[ 2  6 14 18 34],56,[56 70 86],0,1,"[4.0, 18.0, 22.0, 37.0, 56.0, 70.0, 81.0, 86.0, 94.0]","[3.0, 5.0]"
108,[ 1 18 21 30 34 35 46],56,[ 4 18 37 56 86],1,1,"[4.0, 18.0, 22.0, 37.0, 56.0, 70.0, 81.0, 86.0, 94.0]","[5.0, 7.0]"
109,[ 1 11 19 23 27 29 33 34],57,[ 1 25 66 68 72 89],0,1,"[1.0, 25.0, 45.0, 46.0, 57.0, 66.0, 68.0, 72.0, 89.0]","[6.0, 8.0]"
110,[ 1  4 15 19 27 31 32 34 40],57,[ 1 25 45 66 89],1,1,"[1.0, 25.0, 45.0, 46.0, 57.0, 66.0, 68.0, 72.0, 89.0]","[5.0, 9.0]"
111,[ 4 25 27 31 32 43 44],58,[ 1 44 58],0,1,"[1.0, 17.0, 44.0, 45.0, 58.0, 91.0, 92.0]","[3.0, 7.0]"
112,[11 27 32 43 44],58,[ 1 44 45],1,1,"[1.0, 17.0, 44.0, 45.0, 58.0, 91.0, 92.0]","[3.0, 5.0]"
113,[ 2  3  5  6 16 18 35 44],59,[20 27 33 43],0,1,"[20.0, 27.0, 33.0, 43.0, 59.0, 70.0, 75.0]","[4.0, 8.0]"
114,[ 2  3 18 24 35 46],59,[27 33 43 75],1,1,"[20.0, 27.0, 33.0, 43.0, 59.0, 70.0, 75.0]","[4.0, 6.0]"
115,[ 3  7 12 18 32 40 41],60,[21 60 76 82 95],0,1,"[5.0, 15.0, 21.0, 30.0, 32.0, 60.0, 76.0, 82.0, 91.0, 95.0]","[5.0, 7.0]"
116,[ 9 12 16 23 32 33 40 41],60,[21 30 32 82],1,1,"[5.0, 15.0, 21.0, 30.0, 32.0, 60.0, 76.0, 82.0, 91.0, 95.0]","[4.0, 8.0]"
117,[ 7 19 47],61,[12],0,1,"[6.0, 12.0, 13.0, 32.0, 36.0, 61.0, 79.0]","[1.0, 3.0]"
118,[ 0  7  8 22 33 41 47],61,[ 6 32 79],1,1,"[6.0, 12.0, 13.0, 32.0, 36.0, 61.0, 79.0]","[3.0, 7.0]"
119,[13 16 22 24 38],62,[13 20 24 37 43],0,1,"[13.0, 20.0, 24.0, 37.0, 43.0, 62.0, 88.0]","[5.0, 5.0]"
120,[ 2 24 45],62,[20 43 62],1,1,"[13.0, 20.0, 24.0, 37.0, 43.0, 62.0, 88.0]","[3.0, 3.0]"
121,[ 2  5  6  9 18 21 24 27 35 38 39 45],63,[ 4 24 33 37 67 81],0,1,"[4.0, 14.0, 20.0, 24.0, 28.0, 33.0, 37.0, 43.0, 63.0, 67.0, 74.0, 75.0, 81.0, 83.0]","[6.0, 12.0]"
122,[ 2  6  8  9 17 21 24 27 45 46],63,[20 24 67 83],1,1,"[4.0, 14.0, 20.0, 24.0, 28.0, 33.0, 37.0, 43.0, 63.0, 67.0, 74.0, 75.0, 81.0, 83.0]","[4.0, 10.0]"
123,[ 3  5  6  8 14 25 42],64,[29 37 39 81 84],0,1,"[8.0, 28.0, 29.0, 37.0, 39.0, 50.0, 64.0, 81.0, 84.0]","[5.0, 7.0]"
124,[ 6 21 38],64,[37],1,1,"[8.0, 28.0, 29.0, 37.0, 39.0, 50.0, 64.0, 81.0, 84.0]","[1.0, 3.0]"
125,[ 0 10 22 28 32 44],65,[ 7 42],0,1,"[7.0, 21.0, 31.0, 38.0, 42.0, 48.0, 65.0, 91.0]","[2.0, 6.0]"
126,[10 22 34],65,[38 65 91],1,1,"[7.0, 21.0, 31.0, 38.0, 42.0, 48.0, 65.0, 91.0]","[3.0, 3.0]"
127,[ 6 14 35 40],66,[18 22 46 86],1,1,"[18.0, 22.0, 46.0, 57.0, 66.0, 86.0]","[4.0, 4.0]"
128,[ 0  5  9 17 18 30 35],67,[14 19 47 48 95],0,1,"[4.0, 14.0, 19.0, 47.0, 48.0, 63.0, 67.0, 83.0, 95.0]","[5.0, 7.0]"
129,[ 0  5  8  9 14 30 35],67,[ 4 14 19 47 48 83 95],1,1,"[4.0, 14.0, 19.0, 47.0, 48.0, 63.0, 67.0, 83.0, 95.0]","[7.0, 7.0]"
130,[ 4 15 23 29 38 44],68,[ 1 46 57 94],0,1,"[1.0, 25.0, 32.0, 46.0, 57.0, 68.0, 82.0, 87.0, 94.0]","[4.0, 6.0]"
131,[ 1 11 19 20 23 29 33 40],68,[25 32 46 82],1,1,"[1.0, 25.0, 32.0, 46.0, 57.0, 68.0, 82.0, 87.0, 94.0]","[4.0, 8.0]"
132,[12 19 24 27 42],69,[15 25 53],0,1,"[14.0, 15.0, 25.0, 33.0, 45.0, 53.0, 54.0, 69.0, 90.0]","[3.0, 5.0]"
133,[ 3 19 27 31 36 40 42],69,[25 53 90],1,1,"[14.0, 15.0, 25.0, 33.0, 45.0, 53.0, 54.0, 69.0, 90.0]","[3.0, 7.0]"
134,[ 0  3 26 30 34 42 44 46],70,[ 4 27 29 34 55 56],0,1,"[4.0, 9.0, 24.0, 27.0, 29.0, 34.0, 37.0, 43.0, 55.0, 56.0, 59.0, 70.0]","[6.0, 8.0]"
135,[ 0  2  3  6 16 18 21 25 26 30 42 44],70,[ 4  9 27 29 34 37 43 55 56 70],1,1,"[4.0, 9.0, 24.0, 27.0, 29.0, 34.0, 37.0, 43.0, 55.0, 56.0, 59.0, 70.0]","[10.0, 12.0]"
136,[ 3 10 28 30 43 45],71,[13 31 49 71],0,1,"[10.0, 11.0, 13.0, 16.0, 31.0, 49.0, 71.0, 86.0]","[4.0, 6.0]"
137,[10 13 20 22 28 30 34 45],71,[11 13 31 86],1,1,"[10.0, 11.0, 13.0, 16.0, 31.0, 49.0, 71.0, 86.0]","[4.0, 8.0]"
138,[ 1  9 39 40],72,[ 0 46],0,1,"[0.0, 5.0, 19.0, 32.0, 46.0, 52.0, 57.0, 72.0, 89.0, 95.0]","[2.0, 4.0]"
139,[ 0  1 15 16 23 27 41],72,[ 5 19 32 52 72],1,1,"[0.0, 5.0, 19.0, 32.0, 46.0, 52.0, 57.0, 72.0, 89.0, 95.0]","[5.0, 7.0]"
140,[ 7 12 17 21 34 37 40 47],73,[ 3 12 25 38],0,1,"[3.0, 12.0, 15.0, 25.0, 26.0, 30.0, 38.0, 73.0, 88.0]","[4.0, 8.0]"
141,[12 13 16 19 34 47],73,[12 26 38 88],1,1,"[3.0, 12.0, 15.0, 25.0, 26.0, 30.0, 38.0, 73.0, 88.0]","[4.0, 6.0]"
142,[ 5  8 21 28 39 46],74,[50 63],0,1,"[8.0, 29.0, 33.0, 37.0, 48.0, 50.0, 63.0, 74.0, 81.0, 83.0]","[2.0, 6.0]"
143,[ 3  5  8  9 14 24 26 28 46],74,[ 8 33 48 50 74 81 83],1,1,"[8.0, 29.0, 33.0, 37.0, 48.0, 50.0, 63.0, 74.0, 81.0, 83.0]","[7.0, 9.0]"
144,[ 2 15 16 24 36 44],75,[14 59 75 89],0,1,"[14.0, 33.0, 43.0, 59.0, 63.0, 75.0, 89.0]","[4.0, 6.0]"
145,[ 5 15 21 27 35 44],75,[33 43 59 63 75 89],1,1,"[14.0, 33.0, 43.0, 59.0, 63.0, 75.0, 89.0]","[6.0, 6.0]"
146,[ 7 13 22 29 35 43],76,[ 8 36 49 52],0,1,"[8.0, 11.0, 30.0, 36.0, 49.0, 52.0, 60.0, 76.0, 82.0]","[4.0, 6.0]"
147,[ 6  7 16 20 33 40 41 43],76,[11 30 60 82],1,1,"[8.0, 11.0, 30.0, 36.0, 49.0, 52.0, 60.0, 76.0, 82.0]","[4.0, 8.0]"
148,[ 2 10 34 39],77,[22 24 81 85],0,1,"[7.0, 22.0, 24.0, 31.0, 35.0, 41.0, 50.0, 77.0, 81.0, 85.0, 93.0]","[4.0, 4.0]"
149,[ 8 10 19 29 32 34 43 47],77,[ 7 22 24 31 35 50 81 93],1,1,"[7.0, 22.0, 24.0, 31.0, 35.0, 41.0, 50.0, 77.0, 81.0, 85.0, 93.0]","[8.0, 8.0]"
150,[15 25 47],78,[23],0,1,"[12.0, 23.0, 53.0, 78.0, 92.0]","[1.0, 3.0]"
151,[ 2 22 23 28 45],79,[13 61 93],0,1,"[7.0, 12.0, 13.0, 35.0, 61.0, 79.0, 91.0, 93.0]","[3.0, 5.0]"
152,[ 2 12 23 28 32 45],79,[13 61 91 93],1,1,"[7.0, 12.0, 13.0, 35.0, 61.0, 79.0, 91.0, 93.0]","[4.0, 6.0]"
