,v_nodes,ts_size,c_nodes,bias_bits,row,snr,sim_index
127,[24 33 43 63 74 81 83],"[7.0, 7.0]",[14 16 17 24 39 45 46],"[4.0, 14.0, 20.0, 24.0, 28.0, 33.0, 37.0, 43.0, 63.0, 67.0, 74.0, 75.0, 81.0, 83.0]",63,10,1
128,[29 50 81 84],"[4.0, 6.0]",[ 5 14 21 28 38 42],"[8.0, 28.0, 29.0, 37.0, 39.0, 50.0, 64.0, 81.0, 84.0]",64,10,0
129,[ 8 28 29 50 84],"[5.0, 7.0]",[ 3 23 26 28 35 38 42],"[8.0, 28.0, 29.0, 37.0, 39.0, 50.0, 64.0, 81.0, 84.0]",64,10,1
130,[21 31 65],"[3.0, 5.0]",[ 9 17 20 28 43],"[7.0, 21.0, 31.0, 38.0, 42.0, 48.0, 65.0, 91.0]",65,10,0
131,[21 31 65],"[3.0, 5.0]",[ 9 17 20 28 43],"[7.0, 21.0, 31.0, 38.0, 42.0, 48.0, 65.0, 91.0]",65,10,1
132,[57 66],"[2.0, 4.0]",[ 1 15 34 40],"[18.0, 22.0, 46.0, 57.0, 66.0, 86.0]",66,10,0
133,[57 66],"[2.0, 4.0]",[ 1 15 34 40],"[18.0, 22.0, 46.0, 57.0, 66.0, 86.0]",66,10,1
134,[ 4 67],"[2.0, 4.0]",[ 9 14 18 27],"[4.0, 14.0, 19.0, 47.0, 48.0, 63.0, 67.0, 83.0, 95.0]",67,10,0
135,[4],"[1.0, 3.0]",[14 18 46],"[4.0, 14.0, 19.0, 47.0, 48.0, 63.0, 67.0, 83.0, 95.0]",67,10,1
136,[32 46 57 68 87 94],"[6.0, 10.0]",[ 7 15 19 23 29 31 33 35 38 40],"[1.0, 25.0, 32.0, 46.0, 57.0, 68.0, 82.0, 87.0, 94.0]",68,10,0
137,[32 46 57 68 87 94],"[6.0, 10.0]",[ 7 15 19 23 29 31 33 35 38 40],"[1.0, 25.0, 32.0, 46.0, 57.0, 68.0, 82.0, 87.0, 94.0]",68,10,1
138,[14 25 53 69],"[4.0, 6.0]",[ 5 11 19 24 40 42],"[14.0, 15.0, 25.0, 33.0, 45.0, 53.0, 54.0, 69.0, 90.0]",69,10,0
139,[14 25 53 69],"[4.0, 6.0]",[ 5 11 19 24 40 42],"[14.0, 15.0, 25.0, 33.0, 45.0, 53.0, 54.0, 69.0, 90.0]",69,10,1
140,[ 9 59],"[2.0, 4.0]",[24 25 34 44],"[4.0, 9.0, 24.0, 27.0, 29.0, 34.0, 37.0, 43.0, 55.0, 56.0, 59.0, 70.0]",70,10,0
