,row,v_nodes,c_nodes,ts_size,snr,sim_index
18,9,[ 2  9 23 55 70 93],[ 0  2 17 28],"[6.0, 4.0]",10,0
19,9,[ 2  9 23 55 70 93],[ 0  2 17 28],"[6.0, 4.0]",10,1
20,10,[ 1  2  5 10 16 31 47 54 71],[ 1  4  9 10 15 16 17 19 28 30 33 38 44],"[9.0, 13.0]",10,0
21,10,[ 1  3  4  5 10 16 31 47 54 71],[ 1  4  9 10 11 14 16 18 19 21 28 30 33 37 44 46],"[10.0, 16.0]",10,1
22,11,[ 1  3  4 11 49 71 76 86],[ 4 11 13 14 18 21 22 31 34 37 41 43 44 46],"[8.0, 14.0]",10,0
23,11,[ 0 11 49 71 76 86],[ 9 13 22 29 34 39 41 43],"[6.0, 8.0]",10,1
24,12,[ 0  5  9 10 12 23 25 26 32 35 41 61 73 78 79 82],[ 1  2  7  9 10 11 12 13 14 15 16 17 22 25 29 30 34 39 45 47],"[16.0, 20.0]",10,0
25,12,[ 0  5  9 10 12 23 25 26 32 35 41 61 73 78 79 82],[ 1  2  7  9 10 11 12 13 14 15 16 17 22 25 29 30 34 39 45 47],"[16.0, 20.0]",10,1
26,13,[ 0  5 13 35 42 49 61 62 71 79 85 88],[ 1  3  6  9 16 19 23 30 33 37 39 44],"[12.0, 12.0]",10,0
27,13,[ 0  5 13 35 42 49 61 62 71 79 85 88],[ 1  3  6  9 16 19 23 30 33 37 39 44],"[12.0, 12.0]",10,1
28,14,[ 0  5 10 11 14 17 33 44 47 53 63 67 69 75 84 89],[ 1  5  6  9 10 15 20 21 22 26 27 29 33 35 39 42],"[16.0, 16.0]",10,0
29,14,[ 3 14 17 33 44 47 53 63 67 69 75 84 89],[ 5 11 15 16 22 26 27 30 35 37 43],"[13.0, 11.0]",10,1
30,15,[ 3 15 25 30 60 69 73 80 82],[ 0  7 11 16 21 24 33 36 40],"[9.0, 9.0]",10,0
31,15,[ 3 15 25 30 60 69 73 80 82],[ 0  7 11 16 21 24 33 36 40],"[9.0, 9.0]",10,1
32,16,[ 1  2  6 10 16 36 45 53 71 84],[ 4  5  8 10 13 15 17 23 27 31 32 38 43 44],"[10.0, 14.0]",10,0
33,16,[ 1  2  6 10 16 36 45 53 71 84],[ 4  5  8 10 13 15 17 23 27 31 32 38 43 44],"[10.0, 14.0]",10,1
34,17,[ 1  2  6  7 14 17 42 44 49 54 58 87 90 91],[ 0  4  5  8 12 15 17 23 25 28 32 35 38 41],"[14.0, 14.0]",10,0
35,17,[ 1  7  8  9 10 14 17 42 44 49 54 58 87 90 91],[ 0  2  3  4  5 10 12 26 28 30 32 34 42],"[15.0, 13.0]",10,1
36,18,[ 1  7  8 18 47 48 51 56 66 86 94],[ 0  3  4  6 14 17 23 28 32 35 36 37 44],"[11.0, 13.0]",10,0
37,18,[ 1  7  8 18 47 48 51 56 66 86 94],[ 0  3  4  6 14 17 23 28 32 35 36 37 44],"[11.0, 13.0]",10,1
38,19,[ 1  2  3 19 55 67 72 89 95],[ 4 11 15 17 21 27 29 31 33 34 37 38 46],"[9.0, 13.0]",10,0
39,19,[ 1  2  3 19 55 67 72 89 95],[ 4 11 15 17 21 27 29 31 33 34 37 38 46],"[9.0, 13.0]",10,1
40,20,[ 1  2  3 20 33 37 43 59 62 63],[ 4  6 11 15 17 21 24 31 35 37 45 46],"[10.0, 12.0]",10,0
41,20,[ 2  4 20 33 37 43 59 62 63],[ 6 14 15 17 18 24 35 44 45],"[9.0, 9.0]",10,1
42,21,[ 2  4 21 48 60 65 91 95],[ 9 10 14 15 17 22 32 35 38 46],"[8.0, 10.0]",10,0
43,21,[ 0  1  2  3  4  5 21 48 60 65 91 95],[ 1  4 10 11 14 15 16 17 21 22 29 31 32 33 35 37 38 39 44 46],"[12.0, 20.0]",10,1
44,22,[ 0  1  2  3  4 22 46 55 56 66 77 81 85 86],[ 0  4  6  9 10 11 14 15 17 28 37 40 44 46],"[14.0, 14.0]",10,0
45,22,[ 0  1  2  3  4 22 46 55 56 66 77 81 85 86],[ 0  4  6  9 10 11 14 15 17 28 37 40 44 46],"[14.0, 14.0]",10,1
46,23,[12 23 40 78 93],[ 2 19 37 42 47],"[5.0, 5.0]",10,0
47,23,[12 23 40 78 93],[ 2 19 37 42 47],"[5.0, 5.0]",10,1
48,24,[ 8 24 37 43 62 63 70 77 81 93],[ 3  5 18 26 35 39 45 47],"[10.0, 8.0]",10,0
49,24,[24 37 43 62 63 70 77 81 93],[ 5 18 39 45 47],"[9.0, 5.0]",10,1
50,25,[ 3 10 12 15 25 45 54 57 68 69 73 82 87],[15 19 20 21 23 30 32 35 40 42 47],"[13.0, 11.0]",10,0
